SRR453487	patient 566
SRR453437	patient 438
SRR453443	patient 401
SRR453458	patient 401
SRR453430	patient 382
SRR453491	patient 377
SRR453499	patient 375
SRR453484	patient 350
SRR453464	patient 349
SRR453506	patient 345
SRR453417	patient 344
SRR453490	patient 335
SRR453478	patient 331
SRR453465	patient 330
SRR453480	patient 330
SRR453489	patient 329
SRR453505	patient 329
SRR453498	patient 322
SRR453446	patient 321
SRR453427	patient 315
SRR453440	patient 315
SRR453438	patient 282
SRR453450	patient 275
SRR453460	patient 274
SRR453485	patient 270
SRR453448	patient 266
SRR453424	patient 263
SRR453457	patient 263
SRR453510	patient 193
SRR453456	patient 187
SRR453425	patient 186
SRR453469	patient 186
SRR453481	patient 183
SRR453531	patient 180
SRR453474	patient 179
SRR453509	patient 171
SRR453451	patient 168
SRR453495	patient 161
SRR453504	patient 161
SRR453500	patient 159
SRR453493	patient 156
SRR453444	patient 131
SRR453426	patient 78
